Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_BTTR	Geo_BTBG	Geo_PUMA5	Geo_PUMA1	SE_A00002_001	SE_A00002_002	SE_A00002_003	SE_A02001_001	SE_A02001_002	SE_A02001_003	SE_A01001_001	SE_A01001_002	SE_A01001_003	SE_A01001_004	SE_A01001_005	SE_A01001_006	SE_A01001_007	SE_A01001_008	SE_A01001_009	SE_A01001_010	SE_A01001_011	SE_A01001_012	SE_A01001_013	SE_A03001_001	SE_A03001_002	SE_A03001_003	SE_A03001_004	SE_A03001_005	SE_A03001_006	SE_A03001_007	SE_A03001_008	SE_A12001_001	SE_A12001_002	SE_A12001_003	SE_A12001_004	SE_A12001_005	SE_A12001_006	SE_A12001_007	SE_A12001_008	SE_A12003_001	SE_A12003_002	SE_A12003_003	SE_A17002_001	SE_A17002_002	SE_A17002_003	SE_A17002_004	SE_A17002_005	SE_A17002_006	SE_A17002_007	SE_A17005_001	SE_A17005_002	SE_A17005_003	SE_A14006_001	SE_A10018_001	SE_A10018_002	SE_A10018_003	SE_A14026_001	SE_A14026_002	SE_A14026_003	SE_A14026_004	SE_A14026_005	SE_A10044_001	SE_A10044_002	SE_A10044_003	SE_A10047_001	SE_A10047_002	SE_A10047_003	SE_A10047_004	SE_A10036_001	SE_A18009_001	SE_A10041_001	SE_A10041_002	SE_A10041_003	SE_A10041_004	SE_A10041_005	SE_A10041_006	SE_A10041_007	SE_A10041_008	SE_B09001_001	SE_B09001_002	SE_B09001_003	SE_B09001_004	SE_B09001_005	SE_B09001_006	SE_B09001_007	SE_B09001_008
"10010001"	"86000US10001"	"10001 ZCTA5"	"10001 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0013108"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100"	"10001"	""	""	""	""	""	""	""	""	""	""	""	""	23332	37547.88	0.621393226532324	23332	12116	11216	23332	495	888	886	315	3377	5186	3888	2906	2620	1543	1032	196	23332	14814	2235	32	5000	0	640	611	17371	1226	2352	1998	6249	3713	1341	492	1105	18	1087	21038	14899	0	14899	13870	1029	6139	14899	13870	1029	85168	11967	553	11414	23817	61138	112922	211295	250001	13520	11967	1553	1553	432	8	1113	460500	2114	3232	1402	94	0	94	17	1291	1830	12853	1093	3375	3298	2486	1230	1066	305
"10010002"	"86000US10002"	"10002 ZCTA5"	"10002 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0013109"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100"	"10002"	""	""	""	""	""	""	""	""	""	""	""	""	78096	88804.66	0.879413340911232	78096	37634	40462	78096	2842	3193	3093	1985	6640	14388	10597	10933	10069	6936	4686	2734	78096	24591	6638	196	33352	8	10432	2879	60343	19091	12219	8425	13807	4598	1566	637	2927	182	2745	68324	38156	46	38110	34748	3362	30168	38110	34748	3362	35594	33327	4787	28540	12066	24172	49759	96782	219691	35615	33327	2288	2288	710	132	1446	608900	919	4601	2179	302	49	253	32	1845	2422	32400	1645	5813	7000	7939	5895	2829	1279
"10010003"	"86000US10003"	"10003 ZCTA5"	"10003 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0013110"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100"	"10003"	""	""	""	""	""	""	""	""	""	""	""	""	56767	98476.52	0.576452091669923	56767	27425	29342	56767	1757	796	623	589	12560	15335	8068	5177	5698	3502	1715	947	56767	44001	2493	105	7348	8	1198	1614	40442	1595	2428	4134	17415	9365	3799	1706	7497	30	7467	53455	35932	7	35925	33932	1993	17523	35925	33932	1993	100791	27258	560	26698	33777	76813	131566	228234	250001	31408	27258	4150	4150	1349	178	2623	963100	2117	8292	4521	379	54	325	22	4120	3771	30959	2378	6831	10740	6256	3158	1067	529
"10010004"	"86000US10004"	"10004 ZCTA5"	"10004 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0013111"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100"	"10004"	""	""	""	""	""	""	""	""	""	""	""	""	3044	5438.149	0.559749311579822	3044	1400	1644	3044	85	104	125	157	230	887	551	382	359	152	12	0	3044	2201	31	0	744	6	12	50	2343	30	52	213	1119	541	302	86	50	0	50	2610	2220	0	2220	2075	145	390	2220	2075	145	123056	1592	19	1573	59603	101225	150560	238000	250001	2070	1592	478	478	227	39	212	1250000	2911	430	235	28	23	5	0	207	195	1895	77	494	642	437	216	16	13
"10010005"	"86000US10005"	"10005 ZCTA5"	"10005 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0013112"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100"	"10005"	""	""	""	""	""	""	""	""	""	""	""	""	8710	118471.1	0.0735200317530429	8710	4201	4509	8710	354	262	155	43	1375	3661	1874	608	235	97	46	0	8710	6425	245	0	1625	0	211	204	6521	91	231	439	3053	1683	706	318	143	0	143	7896	6993	5	6988	6745	243	903	6988	6745	243	130116	4295	17	4278	59048	108154	172500	250001	250001	5187	4295	892	892	317	0	575	1424900	3005	749	504	78	26	52	0	426	245	6479	1201	1063	1631	1847	553	120	64
"10010006"	"86000US10006"	"10006 ZCTA5"	"10006 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0013113"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100"	"10006"	""	""	""	""	""	""	""	""	""	""	""	""	3277	35693.7	0.0918089195780058	3277	1382	1895	3277	321	46	40	28	358	1480	562	225	217	0	0	0	3277	2162	99	0	686	0	111	219	2484	16	50	146	1336	542	310	84	0	0	0	2842	2509	0	2509	2451	58	333	2509	2451	58	125364	1776	0	1776	56540	103071	140560	234983	250001	2182	1776	406	406	11	34	361	939800	2847	233	125	13	0	13	0	112	108	2293	499	380	410	576	300	96	32
"10010007"	"86000US10007"	"10007 ZCTA5"	"10007 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0013114"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100"	"10007"	""	""	""	""	""	""	""	""	""	""	""	""	6740	41233.47	0.163459444599743	6740	3976	2764	6740	295	573	220	157	302	1648	1454	1081	671	239	84	16	6740	4790	390	0	1062	0	107	391	5193	352	404	405	1814	1381	659	178	172	0	172	5607	3786	0	3786	3738	48	1821	3786	3738	48	234958	2743	29	2714	91214	184556	250001	250001	250001	3209	2743	466	466	15	47	404	1946100	3339	1009	739	89	22	67	0	650	270	3490	249	917	929	992	230	125	48
"10010009"	"86000US10009"	"10009 ZCTA5"	"10009 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0013115"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100"	"10009"	""	""	""	""	""	""	""	""	""	""	""	""	59799	96981.93	0.616599381927638	59799	26654	33145	59799	1538	1778	1707	1316	6486	16058	7867	7373	7317	4830	2446	1083	59799	36219	4898	89	8096	70	8463	1964	46974	5976	6373	6871	17282	6690	2707	1075	1442	21	1421	54264	36298	40	36258	34277	1981	17966	36258	34277	1981	60788	30062	2231	27831	14525	41593	82123	133770	250001	31612	30062	1550	1550	690	54	806	609700	1554	2026	922	108	0	108	0	814	1104	31890	901	4563	7590	9416	6764	1868	788
"10010010"	"86000US10010"	"10010 ZCTA5"	"10010 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0013116"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100"	"10010"	""	""	""	""	""	""	""	""	""	""	""	""	32854	84097.52	0.390665516596988	32854	16606	16248	32854	1504	723	618	165	4865	8537	4646	4434	3313	2360	1148	541	32854	24356	1867	214	4963	0	511	943	24979	851	1487	3254	10008	5858	2793	728	1492	14	1478	29953	21227	68	21159	20291	868	8726	21159	20291	868	110142	16070	538	15532	41088	83534	134095	246700	250001	17923	16070	1853	1853	700	9	1144	698800	2442	4414	2486	291	14	277	0	2195	1928	18557	1231	3957	5774	5167	1596	676	156
"10010011"	"86000US10011"	"10011 ZCTA5"	"10011 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0013117"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100"	"10011"	""	""	""	""	""	""	""	""	""	""	""	""	50404	76555.52	0.658398031187789	50404	25453	24951	50404	1766	1521	1007	616	3333	12675	8577	6136	7145	4612	2140	876	50404	40021	2313	64	5091	4	1415	1496	42161	2154	2728	4541	16708	10325	3951	1754	823	4	819	45812	34933	0	34933	33421	1512	10879	34933	33421	1512	114134	28738	717	28021	36125	87931	145375	250001	250001	33610	28738	4872	4872	493	160	4219	973200	2029	10217	5638	622	46	576	8	5008	4579	30394	1870	8401	9920	5708	2743	1110	642
